,authors,fruit,image,painting_index,subjects,thumbnail_image,year
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Black Sap,https://naldc.nal.usda.gov/download/POM00001621/screen,1632,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001621/thumbnail,1911
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Black Sweet,https://naldc.nal.usda.gov/download/POM00002594/screen,1633,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00002594/thumbnail,1894
0,"Shull, James Marion, 1872-1948
",Malus domestica: Black Twig,https://naldc.nal.usda.gov/download/POM00001241/screen,1634,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001241/thumbnail,1924
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Black Winesap,https://naldc.nal.usda.gov/download/POM00001622/screen,1635,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001622/thumbnail,1931
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Black Winesap,https://naldc.nal.usda.gov/download/POM00001623/screen,1636,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001623/thumbnail,1932
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Blackjou,https://naldc.nal.usda.gov/download/POM00001620/screen,1637,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001620/thumbnail,1933
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Blademir,https://naldc.nal.usda.gov/download/POM00001624/screen,1638,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001624/thumbnail,1909
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Blaxtayman,https://naldc.nal.usda.gov/download/POM00001625/screen,1639,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001625/thumbnail,1931
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Blaxtayman,https://naldc.nal.usda.gov/download/POM00001626/screen,1640,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001626/thumbnail,1933
0,"Heiges, Bertha
",Malus domestica: Bledsoe,https://naldc.nal.usda.gov/download/POM00001629/screen,1641,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001629/thumbnail,1904
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Blenheim,https://naldc.nal.usda.gov/download/POM00001630/screen,1642,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001630/thumbnail,1913
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Blenheim,https://naldc.nal.usda.gov/download/POM00001632/screen,1643,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001632/thumbnail,1922
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Blenheim Orange,https://naldc.nal.usda.gov/download/POM00001633/screen,1644,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001633/thumbnail,1931
0,"Heiges, Bertha
",Malus domestica: Blenheim Pippin,https://naldc.nal.usda.gov/download/POM00001631/screen,1645,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001631/thumbnail,1901
0,"Shull, James Marion, 1872-1948
",Malus domestica: Blk,https://naldc.nal.usda.gov/download/POM00003970/screen,1646,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00003970/thumbnail,1915
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloom,https://naldc.nal.usda.gov/download/POM00001634/screen,1647,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001634/thumbnail,1898
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Bloomfield,https://naldc.nal.usda.gov/download/POM00001635/screen,1648,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001635/thumbnail,1925
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Bloomfield,https://naldc.nal.usda.gov/download/POM00001636/screen,1649,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001636/thumbnail,1908
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloomfield,https://naldc.nal.usda.gov/download/POM00001637/screen,1650,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001637/thumbnail,1895
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Bloomless,https://naldc.nal.usda.gov/download/POM00001638/screen,1651,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001638/thumbnail,1905
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloomless,https://naldc.nal.usda.gov/download/POM00001639/screen,1652,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001639/thumbnail,1906
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloomless,https://naldc.nal.usda.gov/download/POM00001640/screen,1653,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001640/thumbnail,1895
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloomless,https://naldc.nal.usda.gov/download/POM00001641/screen,1654,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001641/thumbnail,1893
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloomless,https://naldc.nal.usda.gov/download/POM00001642/screen,1655,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001642/thumbnail,1895
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloomless Seedless,https://naldc.nal.usda.gov/download/POM00001643/screen,1656,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001643/thumbnail,1903
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bloomless Seedless,https://naldc.nal.usda.gov/download/POM00001652/screen,1657,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001652/thumbnail,1907
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Blue Pearmain,https://naldc.nal.usda.gov/download/POM00001403/screen,1658,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001403/thumbnail,1912
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Blue Pearmain,https://naldc.nal.usda.gov/download/POM00001404/screen,1659,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001404/thumbnail,1912
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Blue Pearmain,https://naldc.nal.usda.gov/download/POM00001405/screen,1660,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001405/thumbnail,1925
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Blue Pearmain,https://naldc.nal.usda.gov/download/POM00001406/screen,1661,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001406/thumbnail,1925
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Blue Pearmain,https://naldc.nal.usda.gov/download/POM00001653/screen,1662,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001653/thumbnail,1916
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Blue Pearmain,https://naldc.nal.usda.gov/download/POM00001654/screen,1663,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001654/thumbnail,1912
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Blue Russian,https://naldc.nal.usda.gov/download/POM00001409/screen,1664,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001409/thumbnail,1904
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Blunt,https://naldc.nal.usda.gov/download/POM00001410/screen,1665,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001410/thumbnail,1901
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Blush Pippin,https://naldc.nal.usda.gov/download/POM00001411/screen,1666,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001411/thumbnail,1901
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Blushing Bride,https://naldc.nal.usda.gov/download/POM00001517/screen,1667,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001517/thumbnail,1911
0,"Van Deman, Henry G.
",Malus domestica: Boardman,https://naldc.nal.usda.gov/download/POM00000020/screen,1668,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00000020/thumbnail,1886
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Bob Greening,https://naldc.nal.usda.gov/download/POM00001422/screen,1669,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001422/thumbnail,1913
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Bohannon Red,https://naldc.nal.usda.gov/download/POM00002597/screen,1670,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00002597/thumbnail,1910
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bohill Pippin,https://naldc.nal.usda.gov/download/POM00001519/screen,1671,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001519/thumbnail,1908
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Boiken,https://naldc.nal.usda.gov/download/POM00001520/screen,1672,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001520/thumbnail,1916
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Boiken,https://naldc.nal.usda.gov/download/POM00001521/screen,1673,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001521/thumbnail,1905
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Boiken,https://naldc.nal.usda.gov/download/POM00001522/screen,1674,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001522/thumbnail,1905
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Boiken,https://naldc.nal.usda.gov/download/POM00001523/screen,1675,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001523/thumbnail,1922
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Bonne Hoture,https://naldc.nal.usda.gov/download/POM00001425/screen,1676,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001425/thumbnail,1928
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bonum,https://naldc.nal.usda.gov/download/POM00001524/screen,1677,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001524/thumbnail,1905
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Bonum,https://naldc.nal.usda.gov/download/POM00001525/screen,1678,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001525/thumbnail,1913
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bonum,https://naldc.nal.usda.gov/download/POM00001528/screen,1679,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001528/thumbnail,
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Borlace Pippin Cornich,https://naldc.nal.usda.gov/download/POM00001530/screen,1680,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001530/thumbnail,1907
0,"Prestele, William Henry, 1838-1895
",Malus domestica: Borovinka,https://naldc.nal.usda.gov/download/POM00000057/screen,1681,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00000057/thumbnail,
0,"Prestele, William Henry, 1838-1895
",Malus domestica: Borovinka,https://naldc.nal.usda.gov/download/POM00000058/screen,1682,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00000058/thumbnail,1888
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Borovinka,https://naldc.nal.usda.gov/download/POM00001531/screen,1683,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001531/thumbnail,1908
0,"Heiges, Bertha
",Malus domestica: Borsdorf,https://naldc.nal.usda.gov/download/POM00001532/screen,1684,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001532/thumbnail,1897
0,"Heiges, Bertha
",Malus domestica: Bortz,https://naldc.nal.usda.gov/download/POM00001412/screen,1685,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001412/thumbnail,1901
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Bortz,https://naldc.nal.usda.gov/download/POM00001413/screen,1686,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001413/thumbnail,1905
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bortz,https://naldc.nal.usda.gov/download/POM00001414/screen,1687,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001414/thumbnail,1903
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bortz,https://naldc.nal.usda.gov/download/POM00001533/screen,1688,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001533/thumbnail,1905
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Boskoop,https://naldc.nal.usda.gov/download/POM00001415/screen,1689,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001415/thumbnail,1924
0,"Heiges, Bertha
",Malus domestica: Bosnian,https://naldc.nal.usda.gov/download/POM00001418/screen,1690,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001418/thumbnail,1904
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bosnian,https://naldc.nal.usda.gov/download/POM00001419/screen,1691,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001419/thumbnail,1902
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Bostic Queen,https://naldc.nal.usda.gov/download/POM00001420/screen,1692,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001420/thumbnail,1924
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Bottle Greening,https://naldc.nal.usda.gov/download/POM00001421/screen,1693,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001421/thumbnail,1913
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Bottle Greening,https://naldc.nal.usda.gov/download/POM00001423/screen,1694,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001423/thumbnail,1905
0,"Heiges, Bertha
",Malus domestica: Bottle Greening,https://naldc.nal.usda.gov/download/POM00001424/screen,1695,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001424/thumbnail,1901
0,"Newton, Amanda Almira, ca. 1860-1943
",Malus domestica: Bottle Greening,https://naldc.nal.usda.gov/download/POM00002369/screen,1696,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00002369/thumbnail,1913
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bowen,https://naldc.nal.usda.gov/download/POM00001426/screen,1697,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001426/thumbnail,1896
0,"Heiges, Bertha
",Malus domestica: Boys Delight,https://naldc.nal.usda.gov/download/POM00001427/screen,1698,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001427/thumbnail,1904
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Brackett,https://naldc.nal.usda.gov/download/POM00001428/screen,1699,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001428/thumbnail,1926
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Brackett,https://naldc.nal.usda.gov/download/POM00001429/screen,1700,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001429/thumbnail,1904
0,"Heiges, Bertha
",Malus domestica: Brackett,https://naldc.nal.usda.gov/download/POM00001430/screen,1701,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001430/thumbnail,1903
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Brackett,https://naldc.nal.usda.gov/download/POM00001431/screen,1702,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001431/thumbnail,1901
0,"Prestele, William Henry, 1838-1895
",Malus domestica: Brady,https://naldc.nal.usda.gov/download/POM00001434/screen,1703,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001434/thumbnail,1890
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Bramley,https://naldc.nal.usda.gov/download/POM00001435/screen,1704,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001435/thumbnail,1908
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Bramley,https://naldc.nal.usda.gov/download/POM00001436/screen,1705,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001436/thumbnail,1931
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Branch,https://naldc.nal.usda.gov/download/POM00001437/screen,1706,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001437/thumbnail,1900
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Brewington Pippin,https://naldc.nal.usda.gov/download/POM00001438/screen,1707,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001438/thumbnail,1900
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Brewington Pippin,https://naldc.nal.usda.gov/download/POM00001439/screen,1708,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001439/thumbnail,1905
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Briar Sweet,https://naldc.nal.usda.gov/download/POM00001440/screen,1709,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001440/thumbnail,1907
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bridgewater,https://naldc.nal.usda.gov/download/POM00001441/screen,1710,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001441/thumbnail,1901
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Briggs Auburn,https://naldc.nal.usda.gov/download/POM00001442/screen,1711,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001442/thumbnail,1900
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Bright Red,https://naldc.nal.usda.gov/download/POM00001443/screen,1712,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001443/thumbnail,1903
0,"Heiges, Bertha
",Malus domestica: Brightwater,https://naldc.nal.usda.gov/download/POM00001444/screen,1713,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001444/thumbnail,1900
0,"Arnold, Mary Daisy, ca. 1873-1955
",Malus domestica: Brilliant,https://naldc.nal.usda.gov/download/POM00001445/screen,1714,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001445/thumbnail,1913
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Brilliant,https://naldc.nal.usda.gov/download/POM00001446/screen,1715,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001446/thumbnail,1898
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Brilliant,https://naldc.nal.usda.gov/download/POM00001668/screen,1716,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001668/thumbnail,1903
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Brilliant,https://naldc.nal.usda.gov/download/POM00001669/screen,1717,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001669/thumbnail,1925
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Brock,https://naldc.nal.usda.gov/download/POM00001670/screen,1718,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001670/thumbnail,1930
0,"Steadman, Royal Charles, b. 1875
",Malus domestica: Brock,https://naldc.nal.usda.gov/download/POM00001671/screen,1719,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001671/thumbnail,1930
0,"Passmore, Deborah Griscom, 1840-1911
",Malus domestica: Brooke Blushed,https://naldc.nal.usda.gov/download/POM00001672/screen,1720,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001672/thumbnail,1908
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Brooke Blushed,https://naldc.nal.usda.gov/download/POM00001717/screen,1721,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001717/thumbnail,1909
0,"Schutt, Ellen Isham, 1873-1955
",Malus domestica: Brooke Striped,https://naldc.nal.usda.gov/download/POM00001718/screen,1722,"Malus domestica , apples",https://naldc.nal.usda.gov/download/POM00001718/thumbnail,1906
